title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers,total_reviews,positive_reviews,negative_reviews
Transport Fever 2,1066780,2019-12-11,39.99,76,Very Positive,89,Urban Games,Good Shepherd Entertainment,7375,6542,833
Budget Cuts 2: Mission Insolvency,1092430,2019-12-12,29.99,74,Very Positive,82,Neat Corporation,Neat Corporation,355,289,66
Red Dead Redemption 2,1174180,2019-11-05,59.99,93,Very Positive,91,Rockstar Games,Rockstar Games,160681,145292,15389
Ashen,649950,2018-12-06,39.99,81,Mixed,69,A44,Annapurna Interactive,1385,954,431
GTFO,493520,2019-12-09,39.99,78,Very Positive,87,10 Chambers,10 Chambers,20989,18656,2333
New World,1063730,2021-09-28,39.99,70,Mostly Positive,70,Amazon Games,Amazon Games,131763,92597,39166
Ori and the Will of the Wisps,1057090,2020-03-11,29.99,88,Overwhelmingly Positive,96,Moon Studios GmbH,Xbox Game Studios,25512,24728,784
Gears Tactics,1184050,2020-04-28,39.99,80,Mostly Positive,75,Splash Damage,Xbox Game Studios,3069,2415,654
The Walking Dead: Saints and Sinners,916840,2020-01-23,39.99,81,Very Positive,88,Skydance Interactive,Skydance Interactive,5182,4607,575
RESIDENT EVIL 3,952060,2020-04-03,39.99,77,Very Positive,81,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",19209,15529,3680
ROMANCE OF THE THREE KINGDOMS XIV,872410,2020-12-24,59.99,58,Mixed,60,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",550,329,221
AO Tennis 2,1072500,2020-01-09,49.99,65,Mostly Positive,70,Big Ant Studios,Nacon,307,207,100
Temtem,745920,2022-09-06,44.99,79,Very Positive,83,Crema,Humble Games,17515,14824,2691
MY HERO ONE'S JUSTICE 2,1058450,2020-03-13,39.99,68,Very Positive,88,BYKING,BANDAI NAMCO Entertainment,1405,1242,163
DAEMON X MACHINA,1167450,2020-02-13,49.99,72,Very Positive,87,Marvelous Inc.,Marvelous,1965,1667,298
Dungeon Defenders: Awakened,1101190,2020-05-28,29.99,74,Mixed,69,Chromatic Games,Chromatic Games,2159,1515,644
TT Isle of Man - Ride on the Edge 2,1082180,2020-03-19,29.99,70,Very Positive,82,KT Racing,Nacon,332,265,67
Mega Man Zero/ZX Legacy Collection,999020,2020-02-25,29.99,80,Mostly Positive,79,"CAPCOM CO., LTD.","CAPCOM CO., LTD.",821,718,103
KATANA KAMI: A Way of the Samurai Story,1062340,2020-02-20,29.99,61,Mixed,59,Acquire Corp.,"Spike Chunsoft Co., Ltd. ",107,84,23
SWORD ART ONLINE Alicization Lycoris,1009290,2020-07-10,59.99,53,Mixed,61,"AQURIA Co., Ltd.",BANDAI NAMCO Entertainment,1617,1118,499
Mount and Blade II: Bannerlord,261550,2022-10-25,49.99,77,Very Positive,87,TaleWorlds Entertainment,TaleWorlds Entertainment,81704,71738,9966
Operencia: The Stolen Sun,985950,2019-03-29,29.99,76,Mostly Positive,78,Zen Studios,Zen Studios,246,182,64
Disaster Report 4: Summer Memories,1060210,2020-04-07,59.99,58,Mostly Positive,70,Granzella Inc.,"NIS America, Inc.",147,112,35
SpongeBob Squarepants: Battle for Bikini Bottom - Rehydrated,969990,2020-06-23,29.99,69,Very Positive,94,Purple Lamp,THQ Nordic,8248,7896,352
Desperados III,610370,2020-06-16,39.99,86,Overwhelmingly Positive,96,Mimimi Games,THQ Nordic,3373,3249,124
Destroy All Humans!,803330,2020-07-28,29.99,71,Very Positive,93,Black Forest Games,THQ Nordic,5790,5453,337
Disintegration,536280,2020-06-15,29.99,62,Mixed,58,V1 Interactive,Private Division,142,84,58
DIRT 5,1038250,2020-11-06,59.99,72,Mixed,59,Codemasters,Electronic Arts,1238,709,529
Super Mega Baseball 3,988910,2020-05-13,44.99,80,Very Positive,92,Metalhead Software Inc.,Electronic Arts,1510,1394,116
Crusader Kings III,1158310,2020-09-01,49.99,91,Very Positive,92,Paradox Development Studio,Paradox Interactive,35574,32843,2731
PGA TOUR 2K21,1016120,2020-08-20,59.99,74,Very Positive,84,HB Studios Multimedia Ltd.,2K,4472,3766,706
Mafia II: Definitive Edition,1030830,2020-05-19,29.99,72,Mostly Positive,71,Hangar 13,2K,4731,3462,1269
Mafia : Definitive Edition,1030840,2020-05-19,39.99,78,Very Positive,87,Hangar 13,2K,17447,15241,2206
Serious Sam 4,257420,2020-09-24,39.99,68,Very Positive,83,Croteam,Devolver Digital,4271,3538,733
The Persistence,1140100,2020-05-21,29.99,75,Mixed,64,Firesprite Ltd,Firesprite Ltd,59,39,20
Age of Wonders III,226840,2014-03-31,29.99,80,Very Positive,81,Triumph Studios,Paradox Interactive,4355,3580,775
Shantae and the Seven Sirens,1191630,2020-05-28,29.99,80,Very Positive,90,WayForward,WayForward,669,601,68
Plants vs. Zombies: Battle for Neighborville,1262240,2019-09-04,39.99,77,Mostly Positive,73,PopCap,Electronic Arts,2252,1787,465
Need for Speed,1262540,2016-03-15,29.99,68,Mostly Positive,72,Ghost Games,Electronic Arts,4024,2683,1341
Need for Speed Heat,1222680,2019-11-08,69.99,72,Very Positive,84,Ghost Games,Electronic Arts,31047,26214,4833
Phoenix Wright: Ace Attorney Trilogy,787480,2019-04-09,29.99,80,Overwhelmingly Positive,97,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",6329,6198,131
Mega Man 11,742300,2018-10-02,29.99,79,Very Positive,90,"CAPCOM CO., LTD.","CAPCOM CO., LTD.",1465,1315,150
Resident Evil 2,883710,2019-01-25,39.99,89,Overwhelmingly Positive,97,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",37664,36622,1042
Resident Evil 6,221040,2013-03-22,29.99,69,Mostly Positive,79,Capcom,Capcom,9419,6888,2531
Resident Evil 4,2050650,2023-03-24,59.99,91,Overwhelmingly Positive,97,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",32633,31765,868
Resident Evil: Revelations,222480,2013-05-20,29.99,77,Very Positive,86,Capcom,Capcom,2594,2185,409
Battlefield 1,1238840,2016-10-21,39.99,88,Very Positive,86,DICE,Electronic Arts,25244,22161,3083
Battlefield 4,1238860,2013-10-19,39.99,81,Very Positive,87,DICE,Electronic Arts,21362,18601,2761
Battlefield V,1238810,2018-11-20,49.99,81,Mostly Positive,70,DICE,Electronic Arts,21971,15423,6548
