title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers,total_reviews,positive_reviews,negative_reviews
Age of Mythology: Extended Edition,266840,2014-05-08,29.99,66,Very Positive,92,SkyBox Labs,Xbox Game Studios,12455,11379,1076
Watch_Dogs,243470,2014-05-26,29.99,77,Mostly Positive,75,Ubisoft,Ubisoft,14034,9850,4184
The Golf Club,269730,2014-08-19,29.99,70,Mixed,63,HB Studios,HB Studios,837,541,296
Pandora : First Contact,287580,2013-11-14,29.99,68,Mixed,61,Proxy Studios,Slitherine Ltd.,403,253,150
Distant Worlds: Universe,261470,2014-05-23,29.99,81,Mostly Positive,72,Code Force,Slitherine Ltd.,1101,796,305
Sherlock Holmes: Crimes and Punishments,241260,2014-09-29,29.99,77,Very Positive,90,Frogwares,Frogwares,1848,1671,177
Shadows: Heretic Kingdoms,256030,2014-11-14,29.99,74,Mixed,58,Games Farm,Kalypso Media Digital,141,81,60
Dead Rising 3: Apocalypse Edition,265550,2014-09-05,29.99,70,Mostly Positive,75,Capcom Game Studio Vancouver,Capcom,4898,3651,1247
Alien: Isolation,214490,2014-10-06,39.99,81,Very Positive,92,Creative Assembly,Feral Interactive (Linux),20913,19239,1674
Far Cry 4,298110,2014-11-17,29.99,80,Very Positive,83,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,18110,14601,3509
Assassin's Creed Unity,289650,2014-11-11,29.99,70,Mostly Positive,77,Ubisoft,Ubisoft,18430,13602,4828
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,272510,2014-09-15,29.99,61,Very Positive,84,"CyberConnect2 Co., Ltd.",BANDAI NAMCO Entertainment,1815,1434,381
The Crew,241560,2014-12-01,29.99,71,Mixed,69,Ivory Tower,Ubisoft,4891,3190,1701
Sid Meier's Civilization: Beyond Earth,65980,2014-10-23,39.99,81,Mixed,59,Firaxis Games,Aspyr (Linux),9457,5375,4082
Borderlands: The Pre-Sequel,261640,2014-10-13,39.99,75,Very Positive,83,2K Australia,Aspyr (Linux),16049,12949,3100
To End All Wars,312360,2014-08-29,39.99,71,Mixed,60,Ageod,Slitherine Ltd.,105,64,41
Battle Academy 2: Eastern Front,306640,2014-09-12,39.99,77,Very Positive,93,Slitherine Ltd.,Slitherine Ltd.,104,96,8
Buzz Aldrin's Space Program Manager,308270,2014-10-31,29.99,62,Mostly Positive,75,Polar Motion,Slitherine Ltd.,246,185,61
The Talos Principle,257510,2014-12-11,29.99,85,Overwhelmingly Positive,95,Croteam,Croteam,14793,14173,620
Pillars of Eternity,291650,2015-03-26,29.99,89,Very Positive,87,Obsidian Entertainment,Xbox Game Studios,9236,8002,1234
Total War: Attila,325610,2015-02-17,44.99,80,Very Positive,81,CREATIVE ASSEMBLY,SEGA,11370,8988,2382
"Warhammer 40,000: Armageddon",312370,2014-11-26,39.99,68,Very Positive,80,Flashback Games,Slitherine Ltd.,569,468,101
Satellite Reign,268870,2015-08-27,29.99,75,Mostly Positive,75,5 Lives Studios,5 Lives Studios,1661,1277,384
Subnautica,264710,2018-01-23,29.99,87,Overwhelmingly Positive,96,Unknown Worlds Entertainment,Unknown Worlds Entertainment,132483,127963,4520
Zombie Army Trilogy,301640,2015-03-06,44.99,72,Very Positive,87,Rebellion,Rebellion,4512,3880,632
Grey Goo,290790,2015-01-23,29.99,77,Mixed,69,Petroglyph,Grey Box,1812,1252,560
Homeworld Remastered Collection,244160,2015-02-25,34.99,86,Very Positive,88,Gearbox Software,Aspyr (Mac),6791,5948,843
Cities: Skylines,255710,2015-03-10,29.99,85,Very Positive,93,Colossal Order Ltd.,Paradox Interactive,88189,82153,6036
Steel Armor: Blaze of War,286280,2015-03-05,29.99,70,Very Positive,83,Graviteam,Graviteam,179,143,36
DARK SOULS II: Scholar of the First Sin,335300,2015-04-01,39.99,79,Very Positive,85,"FromSoftware, Inc","FromSoftware, Inc",25381,21133,4248
Killing Floor 2,232090,2016-11-18,29.99,75,Very Positive,89,Tripwire Interactive,Tripwire Interactive,38033,33436,4597
Battle Brothers,365360,2015-04-27,29.99,80,Very Positive,88,Overhype Studios,Overhype Studios,11547,10312,1235
Might and Magic: Heroes VII,321960,2015-09-29,29.99,67,Mixed,54,Limbic Entertainment,Ubisoft,2168,1124,1044
RACE - The WTCC Game,4230,2006-11-24,39.99,81,Mostly Positive,79,SimBin,SimBin,33,28,5
Assassins Creed Syndicate,368500,2015-11-18,29.99,74,Very Positive,80,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft,7740,6114,1626
LEGO Worlds,332310,2017-03-07,29.99,71,Mostly Positive,77,TT Games,Warner Bros. Interactive Entertainment,7348,5581,1767
Anno 2205,375910,2015-11-02,39.99,72,Mixed,69,Blue Byte,Ubisoft,2583,1792,791
FINAL FANTASY TYPE-0 HD,340170,2015-08-18,29.99,69,Mixed,60,Square Enix,Square Enix,1399,861,538
Time Machine VR,356180,2016-05-19,29.99,58,Mixed,63,Minority Media Inc.,Minority Media Inc.,78,53,25
Deus Ex: Mankind Divided,337000,2016-08-23,29.99,83,Mostly Positive,76,Eidos Montreal,Feral Interactive (Mac),14838,11006,3832
NOBUNAGA'S AMBITION: Sphere of Influence,392470,2014-08-27,59.99,70,Very Positive,83,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",420,348,72
XCOM 2,268500,2016-02-04,59.99,88,Very Positive,84,Firaxis Games,Feral Interactive (Linux),37396,31890,5506
Heroes of Normandie,365890,2015-10-01,29.99,65,Mostly Positive,70,Cat Rabbit,Slitherine Ltd.,105,71,34
Sonic Lost World,329440,2015-11-02,29.99,57,Mixed,65,Sonic Team,SEGA,1764,1060,704
Total War: WARHAMMER,364360,2016-05-24,59.99,86,Mostly Positive,78,CREATIVE ASSEMBLY,Feral Interactive (Mac),17458,14351,3107
Divinity: Original Sin - Enhanced Edition,373420,2015-10-27,39.99,94,Very Positive,89,Larian Studios,Larian Studios,9179,7989,1190
Tom Clancys The Division,365590,2016-03-07,29.99,79,Mostly Positive,71,Ubisoft,Ubisoft,24157,17357,6800
The Legend of Heroes: Trails in the Sky SC,251290,2015-10-29,29.99,80,Overwhelmingly Positive,97,Nihon Falcom,"Marvelous USA, Inc.",2083,2040,43
The Incredible Adventures of Van Helsing Final Cut,400170,2015-11-06,44.99,79,Mostly Positive,76,NeocoreGames,NeocoreGames,794,599,195
CLANNAD,324160,2015-11-23,44.99,83,Overwhelmingly Positive,98,VisualArts/Key,Sekai Project,1617,1573,44
DARIUSBURST Chronicle Saviours,377870,2015-12-03,49.99,80,Very Positive,83,Pyramid,TAITO CORP.,283,233,50
Far Cry Primal,371660,2016-02-29,29.99,74,Very Positive,85,Ubisoft,Ubisoft,10123,8599,1524
GUILTY GEAR Xrd -SIGN-,376300,2015-12-09,29.99,84,Very Positive,91,Arc System Works,Arc System Works,935,863,72
Homeworld: Deserts of Kharak,281610,2016-01-20,49.99,79,Very Positive,81,Blackbird Interactive,Gearbox Publishing,4532,3646,886
Rise of the Tomb Raider,391220,2016-01-28,29.99,86,Very Positive,94,Crystal Dynamics,Feral Interactive (Linux),24330,22419,1911
The Witness,210970,2016-01-26,39.99,87,Very Positive,85,"Thekla, Inc.","Thekla, Inc.",7157,5992,1165
Torment: Tides of Numenera,272270,2016-01-26,34.99,81,Mostly Positive,71,inXile Entertainment,inXile Entertainment,1352,957,395
ARSLAN: THE WARRIORS OF LEGEND,401890,2016-02-09,59.99,57,Mixed,69,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",83,51,32
Dark Souls III,374320,2016-04-11,59.99,89,Very Positive,94,"FromSoftware, Inc.",Bandai Namco Entertainment,89567,83796,5771
Factorio,427520,2020-08-14,35.0,90,Overwhelmingly Positive,97,Wube Software LTD.,Wube Software LTD.,86218,84664,1554
BlazBlue: Chronophantasma Extend,388750,2016-03-02,29.99,85,Very Positive,92,Arc System Works,"H2 Interactive Co., Ltd.",806,760,46
Polaris Sector,418250,2016-03-22,39.99,76,Mixed,69,SoftWarWare,Slitherine Ltd.,208,132,76
Wolcen: Lords of Mayhem,424370,2016-03-24,39.99,60,Mixed,56,WOLCEN Studio,WOLCEN Studio,27284,15674,11610
TransOcean 2: Rivals,350110,2016-05-10,29.99,69,Mixed,49,Deck13 Hamburg,astragon Entertainment ,191,96,95
Stellaris,281990,2016-05-09,39.99,78,Very Positive,88,Paradox Development Studio,Paradox Interactive,61828,55152,6676
Stephen's Sausage Roll,353540,2016-04-18,29.99,90,Overwhelmingly Positive,96,increpare games,increpare games,783,764,19
Root Double -Before Crime * After Days- Xtend Edition,438130,2016-04-27,34.99,75,Very Positive,90,Yeti,Sekai Project,160,144,16
Parkitect,453090,2018-11-29,29.99,83,Very Positive,94,Texel Raptor,Texel Raptor,3940,3719,221
FINAL FANTASY X/X-2 HD Remaster,359870,2016-05-12,29.99,83,Very Positive,90,Square Enix,Square Enix,7784,7109,675
Hearts of Iron IV,394360,2016-06-06,39.99,83,Very Positive,92,Paradox Development Studio,Paradox Interactive,91075,83784,7291
Sengoku Jidai: Shadow of the Shogun,397190,2016-05-19,29.99,85,Mostly Positive,73,Byzantine Games,Slitherine Ltd.,74,55,19
I am Setsuna,441830,2016-07-19,39.99,70,Mostly Positive,71,Tokyo RPG Factory,Square Enix,1020,716,304
Sherlock Holmes: The Devil's Daughter,350640,2016-05-27,29.99,65,Very Positive,80,Frogwares,Frogwares,2457,1927,530
Champions of Anteria,374520,2016-08-30,29.99,67,Mixed,49,Blue Byte,Ubisoft,48,20,28
Watch_Dogs 2,447040,2016-11-28,49.99,75,Very Positive,82,Ubisoft,Ubisoft,18553,15285,3268
Dishonored 2,403640,2016-11-10,29.99,86,Very Positive,89,Arkane Studios,Bethesda Softworks,16295,14256,2039
Tom Clancy's Ghost Recon Wildlands,460930,2017-03-06,49.99,69,Very Positive,80,Ubisoft Paris,Ubisoft,28210,22860,5350
South Park The Fractured But Whole,488790,2017-10-17,49.99,81,Very Positive,83,Ubisoft San Francisco,Ubisoft,12745,10485,2260
Call of Duty: Infinite Warfare,292730,2016-11-03,59.99,73,Mixed,59,Infinity Ward,Activision,7603,4310,3293
Worms W.M.D,327030,2016-08-23,29.99,76,Very Positive,85,Team17,Team17,3027,2506,521
UNDER NIGHT IN-BIRTH Exe:Late,452510,2016-07-12,29.99,81,Very Positive,90,FRENCH-BREAD,Arc System Works,393,363,30
RimWorld,294100,2018-10-17,34.99,87,Overwhelmingly Positive,98,Ludeon Studios,Ludeon Studios,88693,87062,1631
Urban Empire,352550,2017-01-20,29.99,62,Mostly Negative,34,Reborn Games,Kalypso Media Digital,737,208,529
Blade Arcus from Shining: Battle Arena,446040,2016-07-28,29.99,64,Very Positive,83,Studio Saizensen,Studio Saizensen,80,66,14
Vikings - Wolves of Midgard,404590,2017-03-24,29.99,66,Mixed,58,Games Farm,Kalypso Media Digital,783,493,290
Steep,460920,2016-12-02,29.99,72,Very Positive,81,Ubisoft Annecy,Ubisoft,9138,7664,1474
Planet Coaster ,493340,2016-11-17,44.99,84,Very Positive,91,Frontier Developments,Aspyr (Mac),26700,24244,2456
Ashes of the Singularity: Escalation,507490,2016-11-10,29.99,81,Mostly Positive,77,Stardock Entertainment,Stardock Entertainment,1697,1362,335
Shadow Warrior 2,324800,2016-10-13,29.99,78,Very Positive,87,Flying Wild Hog,Devolver Digital,8027,7016,1011
STEINS;GATE,412830,2014-03-31,29.99,87,Overwhelmingly Positive,97,MAGES. Inc.,"Spike Chunsoft Co., Ltd.",3518,3370,148
Sniper Elite 4,312660,2017-02-14,59.99,78,Very Positive,91,Rebellion,Rebellion,13134,11916,1218
Oriental Empires,357310,2017-09-14,29.99,74,Very Positive,80,Shining Pixel Studios,Iceberg Interactive,759,556,203
Transport Fever,446800,2016-11-08,29.99,71,Very Positive,82,Urban Games,Good Shepherd Entertainment,4063,3278,785
Tyranny,362960,2016-11-10,29.99,80,Very Positive,87,Obsidian Entertainment,Paradox Interactive,5694,4886,808
The Elder Scrolls V: Skyrim Special Edition,489830,2016-10-27,39.99,74,Overwhelmingly Positive,95,Bethesda Game Studios,Bethesda Softworks,90812,86482,4330
Arizona Sunshine,342180,2016-12-05,29.99,81,Very Positive,80,Vertigo Games,Vertigo Games,4875,3847,1028
Dawn of Andromeda,427570,2017-05-04,29.99,70,Mixed,44,Grey Wolf Entertainment,Iceberg Interactive,118,59,59
The Dwarves,403970,2016-12-01,39.99,61,Mostly Positive,74,KING Art,EuroVideo Medien,421,299,122
Bulletstorm: Full Clip Edition,501590,2017-04-07,39.99,76,Very Positive,88,People Can Fly,Gearbox Publishing,2671,2263,408
Shadow Tactics: Blades of the Shogun,418240,2016-12-06,39.99,85,Overwhelmingly Positive,96,Mimimi Games,Daedalic Entertainment,8089,7712,377
Yooka-Laylee,360830,2017-04-05,39.99,73,Mostly Positive,78,Playtonic Games,Playtonic Friends,1801,1365,436
ASTRONEER,361420,2019-02-06,29.99,71,Very Positive,92,System Era Softworks,System Era Softworks,44193,40531,3662
"Warhammer 40,000: Sanctus Reach",502370,2017-01-19,29.99,69,Very Positive,86,Straylight Entertainment,Slitherine Ltd.,751,644,107
Prey,480490,2017-05-04,29.99,82,Very Positive,90,Arkane Studios,Bethesda Softworks,17693,16187,1506
Nights of Azure,527280,2017-02-07,29.99,64,Mixed,69,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",197,133,64
Conan Exiles,440900,2018-05-08,39.99,68,Mostly Positive,78,Funcom,Funcom,33009,26266,6743
BERSERK and the Band of the Hawk,502280,2017-02-21,59.99,54,Very Positive,80,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",1572,1275,297
Dead Rising 4,543460,2016-12-06,29.99,74,Mixed,59,"Capcom Game Studio Vancouver, Inc.",Capcom,1231,768,463
Northgard,466560,2017-02-22,29.99,81,Very Positive,88,Shiro Games,Shiro Unlimited,19288,16786,2502
NieR: Automata,524220,2017-03-17,39.99,84,Very Positive,87,Square Enix,Square Enix,38820,34729,4091
"Warhammer 40,000: Dawn of War III",285190,2017-04-27,39.99,77,Mixed,49,Relic Entertainment,Feral Interactive (Linux),6742,3134,3608
Toukiden 2,551730,2017-03-21,59.99,73,Mostly Positive,79,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",495,399,96
SENRAN KAGURA ESTIVAL VERSUS,502800,2017-03-17,29.99,71,Very Positive,94,Tamsoft,Marvelous,1335,1259,76
Zero Escape: The Nonary Games,477740,2017-03-24,29.99,86,Very Positive,94,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",2899,2753,146
Steel Division: Normandy 44,572410,2017-05-23,39.99,83,Mostly Positive,73,Eugen Systems,Paradox Interactive,2528,1856,672
RiME,493200,2017-05-26,29.99,78,Very Positive,90,Tequila Works,Six Foot,1354,1202,152
Rick and Morty: Virtual Rick-ality,469610,2017-04-15,29.99,75,Mostly Positive,75,Owlchemy Labs,Adult Swim Games,1646,1210,436
Outlast 2,414700,2017-04-24,29.99,75,Very Positive,91,Red Barrels,Red Barrels,7739,6593,1146
Marvel vs. Capcom: Infinite,493840,2017-09-19,39.99,69,Mixed,63,Capcom,Capcom,1034,634,400
Call of Duty WWII,476600,2017-11-02,59.99,73,Mixed,68,Sledgehammer Games,Activision,11560,7272,4288
Expeditions: Viking,445190,2017-04-27,29.99,74,Very Positive,83,Logic Artists,THQ Nordic,1738,1433,305
The Legend of Heroes: Trails in the Sky the 3rd,436670,2017-05-03,29.99,83,Very Positive,93,Nihon Falcom,"Marvelous USA, Inc.",1165,1100,65
Agents of Mayhem,304530,2017-08-15,29.99,68,Mixed,59,Deep Silver Volition,Deep Silver,1694,1020,674
Far Cry 5,552520,2018-03-26,59.99,78,Very Positive,80,Ubisoft Montreal,Ubisoft,55142,44068,11074
ELEX,411300,2017-10-17,29.99,67,Mostly Positive,72,Piranha Bytes,THQ Nordic,4835,3267,1568
Battle Chasers: Nightwar,451020,2017-10-03,29.99,78,Very Positive,87,Airship Syndicate,THQ Nordic,2285,1970,315
Aven Colony,484900,2017-07-25,29.99,65,Mostly Positive,73,Mothership Entertainment LLC,Team17 Digital Ltd,1033,774,259
The Evil Within 2,601430,2017-10-12,39.99,80,Very Positive,92,Tango Gameworks,Bethesda Softworks,4820,4375,445
Dishonored: Death of the Outsider,614570,2017-09-14,29.99,81,Very Positive,86,Arkane Studios,Bethesda Softworks,3855,3301,554
Total War: WARHAMMER II,594570,2017-09-28,59.99,87,Very Positive,93,CREATIVE ASSEMBLY,Feral Interactive (Linux),49066,45948,3118
Assassins Creed Origins,582160,2017-10-27,59.99,84,Very Positive,86,Ubisoft Montreal,Ubisoft,27316,23101,4215
VALKYRIE DRIVE -BHIKKHUNI-,550080,2017-06-20,29.99,53,Very Positive,84,Meteorise,Marvelous,395,334,61
Hello Neighbor,521890,2017-12-08,29.99,38,Very Positive,84,Dynamic Pixels,tinyBuild,4196,3287,909
Absolver,473690,2017-08-29,29.99,75,Mostly Positive,73,Sloclap,Devolver Digital,7044,5173,1871
LOST SPHEAR,525240,2018-01-23,49.99,69,Mixed,55,Tokyo RPG Factory,Square Enix,110,58,52
The Legend of Heroes: Trails of Cold Steel,538680,2017-08-02,39.99,80,Very Positive,94,Nihon Falcom,"Marvelous USA, Inc.",3038,2872,166
Dungeons 3,493900,2017-10-13,29.99,75,Very Positive,94,Realmforge Studios,Kalypso Media,4677,4334,343
Kingdom Come: Deliverance,379430,2018-02-13,29.99,76,Very Positive,82,Warhorse Studios,Prime Matter,39686,32640,7046
The Crew 2,646910,2018-06-28,49.99,66,Very Positive,83,Ivory Tower,Ubisoft,17869,14913,2956
Secret of Mana,637670,2018-02-15,39.99,57,Mostly Positive,70,Square Enix,Square Enix,1226,887,339
Battlestar Galactica Deadlock,544610,2017-08-31,39.99,77,Very Positive,86,Black Lab Games,Slitherine Ltd.,1861,1634,227
"Warhammer 40,000: Inquisitor - Martyr",527430,2018-06-05,49.99,67,Mostly Positive,74,NeocoreGames,NeocoreGames,8611,6615,1996
Call of Duty: Black Ops III,311210,2015-11-05,59.99,73,Very Positive,86,Treyarch,Aspyr (Mac),86933,77381,9552
Sonic Forces,637100,2017-11-07,39.99,56,Mixed,62,Sonic Team,SEGA,3058,1759,1299
Danganronpa V3: Killing Harmony,567640,2017-09-25,39.99,80,Very Positive,84,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",7921,7053,868
The Guild 3,311260,2022-06-14,29.99,65,Mixed,61,Purple Lamp,THQ Nordic,2359,1469,890
EMPYRE: Lords of the Sea Gates,696810,2017-10-04,29.99,56,Mixed,66,Coin Operated Games,Work Shift Play Inc.,11,7,4
A Hat in Time,253230,2017-10-05,29.99,79,Overwhelmingly Positive,98,Gears for Breakfast,Gears for Breakfast,26677,26212,465
Field of Glory II,660160,2017-10-12,29.99,84,Very Positive,87,Byzantine Games,Slitherine Ltd.,465,404,61
Hand of Fate 2,456670,2017-11-07,29.99,80,Very Positive,84,Defiant Development,Defiant Development,1904,1601,303
Railway Empire,503940,2018-01-26,29.99,74,Very Positive,82,Gaming Minds Studios,Kalypso Media,3482,2798,684
TRANSROAD: USA,494670,2017-11-09,29.99,53,Mixed,50,Deck13 Hamburg,astragon Entertainment,172,92,80
Black Mirror,292930,2017-11-28,29.99,60,Mixed,45,KING Art,THQ Nordic,364,285,79
They Are Billions,644930,2019-06-18,29.99,77,Very Positive,85,Numantian Games,Numantian Games,16690,13409,3281
Fade to Silence,706020,2019-04-30,29.99,57,Mixed,62,Black Forest Games,THQ Nordic,482,307,175
Sword Art Online: Fatal Bullet,626690,2018-02-23,39.99,61,Very Positive,80,DIMPS,BANDAI NAMCO Entertainment,4701,3944,757
Metal Gear Survive,543900,2018-02-21,29.99,54,Mixed,64,KONAMI,KONAMI,2105,1360,745
Pillars of Eternity II: Deadfire,560130,2018-05-08,39.99,88,Very Positive,87,Obsidian Entertainment,Obsidian Entertainment,6985,6117,868
Final Fantasy XII The Zodiac Age,595520,2018-02-01,49.99,83,Very Positive,89,Square Enix,Square Enix,3578,3232,346
In Death,605450,2018-02-01,29.99,77,Very Positive,84,Sólfar Studios,Sólfar Studios,682,574,108
FINAL FANTASY XV WINDOWS EDITION,637650,2018-03-06,34.99,85,Very Positive,83,Square Enix,Square Enix,14497,11912,2585
Rise of Industry,671440,2019-05-02,29.99,62,Mostly Positive,75,Dapper Penguin Studios,Kasedo Games,1753,1315,438
Surviving Mars,464920,2018-03-15,29.99,76,Very Positive,85,Haemimont Games,Paradox Interactive,9094,7651,1443
The Legend of Heroes: Trails of Cold Steel II,748490,2018-02-14,39.99,81,Very Positive,93,Nihon Falcom,"Marvelous USA, Inc.",1539,1456,83
Hunt: Showdown,594650,2019-08-27,39.99,81,Very Positive,83,Crytek,Crytek,69014,58389,10625
Past Cure,646050,2018-02-02,29.99,48,Mostly Negative,26,Phantom 8 Studio,Phantom 8 Studio,11,4,7
BattleTech,637090,2018-04-24,39.99,78,Very Positive,83,Harebrained Schemes,Paradox Interactive,15728,13342,2386
Deep Rock Galactic,548430,2020-05-13,29.99,85,Overwhelmingly Positive,97,Ghost Ship Games,Coffee Stain Publishing,130050,127401,2649
Crash Bandicoot N. Sane Trilogy,731490,2018-06-29,39.99,76,Very Positive,93,Vicarious Visions,Activision,5259,4862,397
Street Fighter 30th Anniversary Collection,586200,2018-05-29,29.99,79,Mostly Positive,70,Digital Eclipse,"Capcom U.S.A, Inc.",943,669,274
Jurassic World Evolution,648350,2018-06-11,44.99,69,Very Positive,86,Frontier Developments,Frontier Developments,22173,19099,3074
Strange Brigade,312670,2018-08-28,49.99,68,Very Positive,84,Rebellion,Rebellion,2898,2494,404
Beat Saber,620980,2018-05-01,29.99,93,Overwhelmingly Positive,95,Beat Games,Beat Games,49866,47890,1976
Trailblazers,621970,2018-05-08,29.99,69,Mixed,50,Supergonk,Rising Star Games,41,23,18
Shining Resonance Refrain,809890,2018-07-09,29.99,68,Mostly Positive,73,SEGA,SEGA,347,248,99
Dark Souls Remastered,570940,2018-05-23,39.99,84,Very Positive,90,QLOC,Bandai Namco Entertainment,30989,27875,3114
LEGO DC Super-Villains,829110,2018-10-16,39.99,76,Very Positive,90,TT Games,Feral Interactive (Mac),1903,1746,157
Wreckfest,228380,2018-06-14,29.99,81,Very Positive,87,Bugbear,THQ Nordic,16216,14060,2156
Insurgency: Sandstorm,581320,2018-12-12,29.99,78,Very Positive,86,New World Interactive,Focus Entertainment,52028,45216,6812
Assassins Creed Odyssey,812140,2018-10-02,59.99,86,Very Positive,89,Ubisoft Quebec,Ubisoft,46844,42187,4657
Budget Cuts,400940,2018-06-14,29.99,76,Very Positive,81,Neat Corporation,Neat Corporation,1309,1062,247
Shenmue I and II,758330,2018-08-21,29.99,76,Very Positive,89,D3T,SEGA,1045,937,108
MONSTER HUNTER: WORLD,582010,2018-08-09,29.99,88,Very Positive,88,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",87435,80290,7145
Darksiders III,606280,2018-11-27,39.99,70,Mostly Positive,76,Gunfire Games,THQ Nordic,3735,2876,859
Hero-U: Rogue to Redemption,375440,2018-07-10,29.99,80,Very Positive,90,Transolar Games,Transolar Games,246,223,23
Dakar 18,767390,2018-09-25,29.99,59,Mostly Positive,71,Bigmoon Entertainment,Ravenscourt,242,162,80
Two Point Hospital,535930,2018-08-29,29.99,83,Very Positive,92,Two Point Studios,SEGA,11297,10529,768
We Happy Few,320240,2018-08-10,59.99,62,Mostly Positive,76,Compulsion Games,Gearbox Publishing,6304,4713,1591
Phantom Doctrine,559100,2018-08-14,39.99,73,Mostly Positive,75,CreativeForge Games,Good Shepherd Entertainment,1854,1396,458
Fell Seal: Arbiter's Mark,699170,2019-04-30,29.99,82,Very Positive,89,6 Eyes Studio,Fulqrum Publishing,2992,2697,295
The Golf Club 2019 featuring PGA TOUR,695290,2018-08-28,49.99,72,Mostly Positive,73,HB Studios Multimedia Ltd.,2K,1403,1032,371
Aggressors: Ancient Rome,783210,2018-08-30,29.99,76,Mostly Positive,79,Kubat Software,Slitherine Ltd.,145,112,33
Assetto Corsa Competizione,805550,2019-05-29,39.99,77,Very Positive,92,Kunos Simulazioni,505 Games,9127,8379,748
Frozen Synapse 2,445020,2018-09-13,29.99,76,Mixed,61,Mode 7,Mode 7,177,110,67
Super Lucky's Tale,847360,2017-11-06,29.99,59,Very Positive,84,Playful Corp.,Xbox Game Studios,205,171,34
Total War: THREE KINGDOMS,779340,2019-05-23,59.99,85,Very Positive,82,CREATIVE ASSEMBLY,Feral Interactive (Linux),15078,12706,2372
X4: Foundations,392160,2018-11-30,49.99,59,Mostly Positive,77,Egosoft,Egosoft,8460,6431,2029
Visage,594330,2020-10-29,34.99,81,Very Positive,86,SadSquare Studio,SadSquare Studio,3488,3036,452
LEFT ALIVE,714370,2019-03-05,59.99,40,Mostly Negative,28,Square Enix,Square Enix,283,78,205
The MISSING: J.J. Macfield and the Island of Memories,842910,2018-10-11,29.99,78,Very Positive,89,White Owls Inc.,Arc System Works,548,494,54
The Blackout Club,599080,2019-07-29,29.99,63,Mostly Positive,79,Question,Question,1541,1223,318
Tropico 6,492720,2019-03-29,39.99,78,Very Positive,87,Limbic Entertainment,Kalypso Media,8237,7155,1082
Underworld Ascendant,692840,2018-11-15,29.99,37,Mixed,42,OtherSide Entertainment,505 Games,431,182,249
Mutant Year Zero: Road to Eden,760060,2018-12-04,34.99,78,Very Positive,90,The Bearded Ladies,Funcom,5974,5344,630
RIDE 3,759740,2018-11-30,29.99,70,Very Positive,84,Milestone S.r.l.,Milestone S.r.l.,1079,859,220
Edge Of Eternity,269190,2021-06-08,29.99,67,Mostly Positive,75,Midgar Studio,Maple Whispering Limited,1569,1206,363
Katamari Damacy REROLL,848350,2018-12-06,29.99,81,Very Positive,92,MONKEYCRAFT Co. Ltd.,BANDAI NAMCO Entertainment,3037,2835,202
Far Cry New Dawn,939960,2019-02-15,39.99,73,Mostly Positive,76,Ubisoft Montreal,Ubisoft,11592,8845,2747
Star Control: Origins,271260,2018-09-20,29.99,75,Mostly Positive,72,Stardock Entertainment,Stardock Entertainment,1503,1148,355
Jon Shafer's At the Gates,241000,2019-01-23,29.99,63,Mixed,40,Conifer Games,Conifer Games,295,116,179
Steel Division 2,919640,2019-06-20,39.99,73,Mostly Positive,79,Eugen Systems,Eugen Systems,3601,2868,733
Subnautica Below Zero,848450,2021-05-14,29.99,82,Very Positive,91,Unknown Worlds Entertainment,Unknown Worlds Entertainment,44494,40425,4069
Praey for the Gods,494430,2021-12-14,29.99,61,Very Positive,84,No Matter Studios,No Matter Studios,1089,904,185
Imperator: Rome,859580,2019-04-25,39.99,76,Mixed,59,Paradox Development Studio,Paradox Interactive,10616,6460,4156
The LEGO Movie 2 Videogame,881320,2019-02-26,29.99,56,Mixed,68,TT Games,Feral interactive (Mac),331,207,124
Age of Wonders: Planetfall,718850,2019-08-06,49.99,81,Very Positive,80,Triumph Studios,Paradox Interactive,2494,2000,494
Fate/EXTELLA LINK,622220,2019-03-19,49.99,79,Very Positive,93,Marvelous Inc.,Marvelous,1278,1207,71
Warhammer: Chaosbane,774241,2019-05-31,29.99,69,Mixed,58,Eko Software,Nacon,1417,859,558
The Occupation,765880,2019-03-05,29.99,68,Mixed,69,White Paper Games,Humble Games,114,79,35
RAGE 2,548570,2019-05-13,39.99,73,Mixed,63,id Software,Bethesda Softworks,6645,4238,2407
Trover Saves the Universe,1051200,2019-06-04,29.99,80,Very Positive,91,"Squanch Games, Inc.","Squanch Games, Inc.",2206,2008,198
