title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
"Warhammer 40,000: Mechanicus",673880,2018-11-15,69.98,78,Very Positive,92,Bulwark Studios,Kasedo Games
Mortal Kombat 1,1971870,2023-09-19,69.99,82,Mostly Positive,75,NetherRealm Studios,Warner Bros. Games
Tank Mechanic Simulator,407130,2020-02-20,51.97,57,Very Positive,88,DeGenerals S.A.,PlayWay S.A.
Soulstice,1602080,2022-09-20,39.99,68,Mostly Positive,79,Reply Game Studios,Modus Games
Brigandine The Legend of Runersia,1843940,2022-05-10,39.99,72,Very Positive,86,Happinet,Happinet
Agatha Christie: Murder On The Orient Express,1904790,2023-10-19,39.99,74,Very Positive,90,Microids Studio Lyon,Microids
Sea of Stars,1244090,2023-08-29,34.99,88,Very Positive,88,Sabotage Studio,Sabotage Studio
Paleo Pines,1202200,2023-09-26,29.99,65,Very Positive,89,Italic Pig,Modus Games
Stray,1332010,2022-07-19,29.99,82,Overwhelmingly Positive,97,BlueTwelve Studio,Annapurna Interactive
"Warhammer 40,000: Darktide",1361210,2022-11-30,39.99,74,Mixed,65,Fatshark,Fatshark
Blair Witch,1092660,2019-08-30,59.98,69,Mostly Positive,77,Bloober Team SA,Bloober Team NA
Into the Radius VR,1012790,2020-02-13,29.99,76,Very Positive,94,CM Games,CM Games
Mutropolis,1037120,2021-02-18,41.97,71,Very Positive,91,Pirita Studio,Application Systems Heidelberg
Dakar Desert Rally,1839940,2022-10-04,39.99,62,Mixed,59,Saber Porto Ltd.,Saber Interactive
Windlands 2,458580,2018-09-12,29.99,73,Very Positive,81,Psytec Games Ltd,Psytec Games Ltd
TEVI,2230650,2023-11-30,29.99,83,Very Positive,92,CreSpirit,Neverland Entertainment
Cosmonious High,1491490,2022-03-31,29.99,86,Very Positive,95,Owlchemy Labs,Owlchemy Labs
Myst,1255560,2021-08-26,29.99,78,Very Positive,88,Cyan Worlds Inc,Cyan Worlds Inc
Battlewake,814400,2019-09-10,29.99,70,Mixed,67,Survios,Survios
No Man's Sky,275850,2016-08-12,59.99,61,Mostly Positive,77,Hello Games,Hello Games
Dinosaur Fossil Hunter,864700,2022-05-04,36.98,65,Mostly Positive,74,▲ Pyramid Games,PlayWay S.A.
God of Rock,1851030,2023-04-18,29.99,62,Mixed,58,Modus Studios,Modus Games
Last Train Home,1469610,2023-11-28,39.99,83,Very Positive,84,Ashborne Games,THQ Nordic
Skully,1249110,2020-08-04,29.99,61,Mostly Positive,75,Finish Line Games,Modus Games
Override 2: Super Mech League,1329790,2020-12-22,29.99,61,Mixed,63,Modus Studios Brazil,Modus Games
SteamWorld Build,2134770,2023-12-01,29.99,73,Mostly Positive,74,The Station,Thunderful Publishing
Cartel Tycoon,1220140,2022-07-26,49.98,71,Mostly Positive,77,Moon Moose,tinyBuild
The Last of Us Part I,1888930,2023-03-28,59.99,59,Mixed,66,Naughty Dog LLC,PlayStation PC LLC
The Tarnishing of Juxtia,1428710,2022-07-26,44.98,69,Mixed,67,Actual Nerds,Neverland Entertainment
Imagine Earth,280720,2021-05-25,29.98,78,Mostly Positive,78,Serious Bros.,Serious Bros.
Vacation Simulator,726830,2019-04-09,29.99,77,Very Positive,93,Owlchemy Labs,Owlchemy Labs
Telling Lies,762830,2019-08-23,29.98,84,Mixed,64,Sam Barlow,Annapurna Interactive
Pathologic 2,505230,2019-05-23,49.98,70,Very Positive,92,Ice-Pick Lodge,tinyBuild
Daymare: 1994 Sandcastle,1530470,2023-08-30,29.99,61,Mostly Positive,71,Invader Studios,4Divinity
Firmament,754890,2023-05-18,34.99,68,Mixed,68,Cyan Worlds Inc,Cyan Worlds Inc
Company of Heroes 3,1677280,2023-02-23,59.99,81,Mixed,53,Relic Entertainment,SEGA
Necromunda: Hired Gun,1222370,2021-06-01,69.98,62,Mixed,69,Streum On Studio,Focus Entertainment
CARRION,953490,2020-07-23,29.98,75,Very Positive,94,Phobia Game Studio,Devolver Digital
High On Life,1583230,2022-12-13,54.98,69,Very Positive,89,"Squanch Games, Inc."," Squanch Games, Inc."
Moonglow Bay,1361400,2021-10-26,39.97,63,Mixed,69,Bunnyhug,Coatsink
Medieval Dynasty,1129580,2020-12-17,34.99,73,Very Positive,90,Render Cube,Toplitz Productions
BONEWORKS,823500,2019-12-10,29.99,72,Very Positive,92,Stress Level Zero,Stress Level Zero
Dwarf Fortress,975370,2006-08-08,29.99,93,Overwhelmingly Positive,95,Bay 12 Games,Kitfox Games
BONELAB,1592190,2022-09-29,39.99,65,Mostly Positive,77,Stress Level Zero,Stress Level Zero
Bendy and the Dark Revival,1063660,2022-11-15,29.99,72,Very Positive,94,Joey Drew Studios,Joey Drew Studios
RAILGRADE,1355090,2022-09-29,29.99,79,Very Positive,80,Minakata Dynamics,Gamera Games
Ravenbound,1307660,2023-03-30,33.98,54,Mixed,52,Systemic Reaction™,Systemic Reaction™
Hell Let Loose,686810,2021-07-27,44.99,79,Very Positive,84,Team17,Team17
Tin Hearts,1831700,2023-05-16,32.98,76,Positive,93,Rogue Sun,Wired Productions
Agatha Christie - Hercule Poirot: The London Case,2223740,2023-08-29,29.99,71,Mixed,53,Blazing Griffin,Microids
Old World,597180,2021-07-01,39.99,80,Very Positive,81,Mohawk Games,Hooded Horse
Beyond a Steel Sky,1146310,2020-07-16,42.98,70,Very Positive,88,Revolution Software Ltd,Revolution Software Ltd
