title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers,total_reviews,positive_reviews,negative_reviews
The Tiny Bang Story,96000,2011-04-22,4.99,63,Very Positive,88,Colibri Games,Colibri Games,1496,1312,184
Children of Morta,330020,2019-09-03,21.99,82,Very Positive,89,Dead Mage,11 bit studios,5983,5382,601
Enemy Front,256190,2014-06-10,19.99,52,Mixed,64,CI Games,CI Games,1253,742,511
Space Hulk: Tactics,492230,2018-10-09,14.99,73,Mixed,63,Cyanide Studio,Focus Entertainment,445,276,169
The American Dream,456180,2018-03-13,14.99,72,Mixed,65,Samurai Punk,Samurai Punk,91,60,31
Chroma Squad,251130,2015-04-30,14.99,75,Overwhelmingly Positive,95,Behold Studios,Behold Studios,1361,1256,105
L.A. Noire,110800,1970-01-01,19.99,83,Very Positive,85,Team Bondi,Rockstar Games,12536,10452,2084
Mortal Kombat X,307780,2015-04-13,19.99,76,Very Positive,87,NetherRealm Studios,Warner Bros. Interactive Entertainment,10008,7898,2110
Eldest Souls,1108590,2021-07-29,19.99,76,Mostly Positive,78,Fallen Flag Studio,CI Games,737,586,151
Space Colony: Steam Edition,297920,2015-04-30,14.99,74,Mostly Positive,76,FireFly Studios,FireFly Studios,258,200,58
Sniper: Ghost Warrior 3,368070,2017-04-24,19.99,59,Mixed,66,CI Games,CI Games,3775,2510,1265
Starpoint Gemini,108110,2010-12-15,13.99,46,Mostly Negative,29,Little Green Men Games,Little Green Men Games,86,24,62
Dangerous Waters,1600,2005-02-22,14.99,82,Mostly Positive,79,Sonalysts,Strategy First,204,158,46
The Town Of Light,433100,2016-02-26,18.99,64,Mostly Positive,79,LKA,Wired Productions,750,543,207
Nosferatu: The Wrath of Malachi,283290,2003-10-19,2.99,70,Very Positive,90,Idol FX,Funbox Media Ltd,622,554,68
ADR1FT,300060,2016-03-28,19.99,64,Mixed,57,THREE ONE ZERO,505 Games,587,317,270
Ash of Gods: Redemption,691690,2018-03-23,24.99,65,Mostly Positive,73,AurumDust,WhisperGames,1031,698,333
Death Road to Canada,252610,2016-07-21,14.99,73,Very Positive,93,Rocketcat Games,Rocketcat Games,5038,4804,234
Ancient Enemy,993790,2020-04-09,14.99,73,Very Positive,91,Grey Alien Games,Grey Alien Games,310,285,25
Disciples II: Rise of the Elves,1630,2003-11-25,5.99,80,Very Positive,86,Strategy First,Strategy First,354,293,61
Puzzle Agent,31270,2010-06-30,4.99,70,Very Positive,88,Telltale,Telltale,1096,962,134
Eagle Flight,408250,2016-10-13,19.99,74,Mixed,59,Ubisoft Montreal Studio,Ubisoft,171,87,84
The Binding of Isaac,113200,2011-09-28,4.99,84,Overwhelmingly Positive,95,Edmund McMillen,Edmund McMillen,21740,20675,1065
Grow Up,426790,2016-08-16,9.99,71,Very Positive,91,"Reflections, a Ubisoft Studio",Ubisoft,1089,1005,84
Amnesia: A Machine For Pigs,239200,2013-09-10,19.99,72,Mixed,68,The Chinese Room,Frictional Games,3817,2457,1360
Tails of Iron,1283410,2021-09-17,24.99,81,Very Positive,89,Odd Bug Studio,CI Games,2143,1937,206
Sniper: Ghost Warrior,34830,2010-06-24,7.99,55,Mixed,57,City Interactive,CI Games,1644,872,772
112 Operator,793460,2020-04-23,24.99,73,Very Positive,88,Jutsu Games,Games Operators,1596,1426,170
Kero Blaster,292500,2014-05-11,9.99,82,Very Positive,94,Studio Pixel,PLAYISM,620,594,26
RAD,722560,2019-08-19,19.99,71,Mostly Positive,77,Double Fine Productions,BANDAI NAMCO Entertainment America Inc.,407,308,99
Patron,1538570,2021-08-10,19.99,71,Mostly Positive,74,Overseer Games,Overseer Games,1325,1008,317
Book of Demons,449960,2018-12-13,24.99,72,Very Positive,91,Thing Trunk,Thing Trunk,3909,3521,388
Eidolon,286140,2014-08-01,15.0,64,Mostly Positive,71,Badru,Ice Water Games,154,112,42
Neverending Nightmares,253330,2014-09-26,14.99,68,Mostly Positive,76,Infinitap Games,Infinitap Games,776,565,211
Sniper Ghost Warrior 2,34870,2013-03-11,9.99,52,Mostly Positive,74,City Interactive,CI Games,3484,2383,1101
Beat Cop,461950,2017-03-30,14.99,71,Very Positive,83,Pixel Crow,11 bit studios,1006,727,279
Avernum 2: Crystal Souls,337850,2015-01-14,19.99,78,Very Positive,93,Spiderweb Software,Spiderweb Software,164,151,13
Unbound: Worlds Apart,814680,2021-07-28,19.99,78,Very Positive,83,Alien Pixel Studios,Alien Pixel Studios,450,386,64
911 Operator,503560,2017-02-24,14.99,68,Very Positive,89,Jutsu Games,Games Operators,4974,4361,613
West of Dead,1016790,2020-06-18,19.99,69,Mostly Positive,78,Upstream Arcade,Raw Fury,438,332,106
Puzzle Agent 2,94590,2011-06-30,4.99,63,Very Positive,87,Telltale,Telltale,354,306,48
Duke Nukem Forever,57900,2011-06-13,19.99,54,Mixed,69,Gearbox Software,2K,3258,2158,1100
Killing Floor: Incursion,690810,2017-08-16,19.99,68,Mixed,55,Tripwire Interactive,Tripwire Interactive,425,221,204
The Falconeer,1135260,2020-11-10,19.99,68,Very Positive,81,Tomas Sala,Wired Productions,154,133,21
Alex Kidd in Miracle World DX,1333470,2021-06-22,19.99,67,Very Positive,84,Merge Games,Merge Games,179,146,33
Project Freedom,34810,1970-01-01,2.99,71,Very Positive,86,City Interactive,CI Games,75,64,11
DeadCore,284460,2013-08-13,9.99,78,Very Positive,85,5 Bits Games,BANDAI NAMCO Entertainment,1011,861,150
Euro Truck Simulator 2,227300,2013-01-16,19.99,79,Overwhelmingly Positive,97,SCS Software,SCS Software,101839,99516,2323
House of the Dying Sun,283160,2016-11-01,19.99,76,Very Positive,89,"Marauder Interactive, LLC","Marauder Interactive, LLC",1475,1333,142
Detached,436230,2017-02-22,24.99,67,Mixed,63,Anshar Studios,Anshar Studios,174,113,61
Iron Sky Invasion,224900,2012-12-13,19.99,49,Mixed,60,Reality Pump,Topware Interactive,208,133,75
Bound By Flame,243930,2014-05-08,6.99,56,Mixed,66,Spiders,Focus Entertainment,1389,889,500
Driver Parallel Lines,21780,2007-06-26,9.99,61,Very Positive,90,Ubisoft Reflections,Ubisoft,445,388,57
Radio Commander,871530,2019-10-10,19.99,65,Mostly Positive,73,Serious Sim,PlayWay S.A.,699,506,193
The Alien Cube,1099220,2021-10-14,19.99,72,Very Positive,83,Alessandro Guzzo,Alessandro Guzzo,186,156,30
Baldur's Gate: Enhanced Edition,228280,2012-11-28,19.99,78,Very Positive,91,Beamdog,Beamdog,7778,7148,630
SteamWorld Heist,322190,2016-06-07,14.99,81,Overwhelmingly Positive,96,Image & Form Games,Image & Form Games,1468,1410,58
We. The Revolution,736850,2019-03-21,19.99,75,Mostly Positive,76,Polyslash,Klabater,757,534,223
Genesis Rising,3230,1970-01-01,4.99,57,Mostly Negative,28,Metamorf,THQ Nordic,92,26,66
BADLAND: Game of the Year Edition,269670,2015-05-26,9.99,79,Very Positive,86,Frogmind,Frogmind,569,467,102
Tom Clancy's Rainbow Six Lockdown,15000,2006-02-16,9.99,59,Mixed,58,Red Storm Entertainment,Ubisoft,231,126,105
SINNER: Sacrifice for Redemption,691280,2018-10-22,18.99,63,Mixed,66,DARK STAR,Neon Doctrine,217,138,79
Freaky Awesome,622370,2017-10-18,9.99,54,Mixed,57,Mandragora,Mandragora,58,32,26
Making History: The Calm and the Storm,6250,2007-03-13,3.99,70,Mostly Positive,79,Muzzy Lane,Strategy First,350,278,72
Drug Dealer Simulator,682990,2020-04-16,19.99,59,Very Positive,87,Byterunners,Movie Games S.A.,7855,6787,1068
Darkstar One,12330,2006-08-14,8.99,71,Very Positive,82,Ascaron Entertainment ltd.,Strategy First,323,261,62
American Truck Simulator,270880,2016-02-02,19.99,76,Overwhelmingly Positive,96,SCS Software,SCS Software,64104,62400,1704
Keep Talking and Nobody Explodes,341800,2015-10-08,14.99,71,Overwhelmingly Positive,97,Steel Crate Games,Steel Crate Games,6579,6487,92
"Trolley Problem, Inc.",1582680,2022-04-21,10.99,76,Mixed,67,Read Graves,Yogscast Games,540,393,147
Bus Driver,302080,2007-03-22,4.99,61,Very Positive,81,SCS Software,SCS Software,591,478,113
Ragnarock,1345820,2021-07-15,24.99,87,Overwhelmingly Positive,95,WanadevStudio,WanadevStudio,1656,1568,88
Feudal Alloy,699670,2019-01-17,16.99,76,Mixed,68,Attu Games,Attu Games,215,141,74
Chasm,312200,2018-07-30,19.99,72,Mostly Positive,74,"Bit Kid, Inc.","Bit Kid, Inc.",675,477,198
Stubbs the Zombie in Rebel Without a Pulse,7800,2005-11-21,19.99,72,Very Positive,90,Aspyr,Aspyr,710,646,64
Submarine Titans,1259380,2000-08-03,4.99,69,Very Positive,86,Ellipse Studios,Strategy First,101,86,15
Tower 57,530950,2017-11-16,11.99,72,Mixed,64,Pixwerk,11 bit studios,156,97,59
DOOM VFR,650000,2017-11-30,14.99,69,Mixed,57,id Software,Bethesda Softworks,1542,870,672
Call of Cthulhu,399810,2018-10-29,19.99,67,Mostly Positive,78,Cyanide Studio,Focus Entertainment,3844,2925,919
Manifold Garden,473950,2019-10-18,19.99,85,Overwhelmingly Positive,95,William Chyr Studio,William Chyr Studio,3028,2890,138
NUTS,768450,2021-02-04,19.99,70,Very Positive,87,"Joon, Pol, Muutsch, Char & Torfi",Noodlecake,363,313,50
MOTHERGUNSHIP: FORGE,1931240,2022-06-16,19.99,84,Very Positive,93,"Terrible Posture Games, Inc.","Terrible Posture Games, Inc.",141,130,11
Don't Knock Twice,328590,2017-09-05,19.99,56,Mostly Positive,72,Wales Interactive,Wales Interactive,225,165,60
SteamWorld Dig,252410,2013-12-05,9.99,76,Very Positive,94,Image & Form Games,Image & Form Games,2344,2194,150
Manhunt,12130,2004-04-20,9.99,75,Mixed,69,Rockstar North,Rockstar Games,1716,1171,545
Wolfenstein: Cyberpilot,1056970,2019-07-25,19.99,54,Mixed,46,Arkane Studios,Bethesda Softworks,135,52,83
Dry Drowning,1077970,2019-08-02,19.99,68,Very Positive,83,Studio V,WhisperGames,68,55,13
Razor2: Hidden Skies,34920,2010-07-19,7.99,61,Mostly Negative,22,Invent4 Entertainment,Strategy First,70,14,56
The Shore,1297300,2021-02-19,11.99,59,Mostly Positive,72,Ares Dragonis,Dragonis Games,808,584,224
Moon Hunters,320040,2016-03-10,14.99,62,Very Positive,80,Kitfox Games,Kitfox Games,1578,1232,346
Shadowgrounds Survivor,11200,2007-11-14,9.99,79,Mixed,61,Frozenbyte,Frozenbyte,258,160,98
Hades,1145360,2018-12-06,24.99,93,Overwhelmingly Positive,98,Supergiant Games,Supergiant Games,113365,111926,1439
Paws and Soul,911510,2020-07-16,11.99,48,Mixed,50,ELECTROSTALIN ENTERTAINMENT,ELECTROSTALIN ENTERTAINMENT,44,15,29
Citadels,238870,2013-07-25,14.99,20,Very Negative,13,Games Distillery s.r.o.,HandyGames,236,28,208
ATOM RPG: Trudograd,1139940,2021-09-13,10.99,80,Very Positive,90,AtomTeam,AtomTeam,765,692,73
Blacksad: Under the Skin,1003890,2019-11-14,19.99,65,Very Positive,85,Pendulo Studios,Microids,1337,1088,249
The Life and Suffering of Sir Brante,1272160,2021-03-04,19.99,82,Very Positive,91,Sever,101XP,1994,1798,196
The Count Lucanor,440880,2016-03-03,9.99,78,Very Positive,94,Baroque Decay,Neon Doctrine,509,478,31
Bully: Scholarship Edition,12200,2008-10-21,14.99,72,Very Positive,84,Rockstar New England,Rockstar Games,10967,8914,2053
Fireburst,207190,2012-04-25,7.99,59,Mixed,56,exDream,Strategy First,53,27,26
Deaths Door,894020,2021-07-20,19.99,85,Very Positive,93,Studio Wildcard,Snail Games USA,7860,7416,444
Road Redemption,300380,2017-10-04,19.99,70,Very Positive,82,EQ Games,Tripwire Presents,4786,4039,747
Alfred Hitchcock - Vertigo,1449320,2021-12-16,19.99,61,Very Positive,81,Pendulo Studios,Microids,112,86,26
Lost in Play,1328840,2022-08-10,19.99,82,Overwhelmingly Positive,98,Happy Juice Games,Joystick Ventures,822,800,22
Curse of the Dead Gods,1123770,2021-02-23,19.99,78,Very Positive,85,Passtech Games,Focus Entertainment,3152,2690,462
Encodya,1137450,2021-01-26,24.99,67,Mostly Positive,76,Chaosmonger Studio,Assemble Entertainment,112,82,30
Shadowgrounds,2500,2006-04-25,6.99,74,Very Positive,81,Frozenbyte,Frozenbyte,523,417,106
Nihilumbra,252670,2013-09-24,7.99,75,Very Positive,88,BeautiFun Games,BeautiFun Games,950,795,155
SteamWorld Dig 2,571310,2017-09-22,19.99,85,Overwhelmingly Positive,95,Image & Form Games,Image & Form Games,2031,1939,92
Hell Architect,1063980,2021-08-18,24.99,59,Mixed,66,Woodland Games,Leonardo Interactive,116,71,45
Doorways: The Underworld,311250,2014-09-17,9.99,50,Mixed,66,Saibot Studios,Saibot Studios,94,58,36
Original Journey,639470,2017-08-16,11.99,66,Mixed,65,Bonfire Entertainment,Another Indie,10,7,3
FixFox,1696220,2022-03-31,14.99,76,Very Positive,88,Rendlike,Joystick Ventures,181,159,22
Aces and Adventures,1815570,2023-02-23,19.99,84,Very Positive,91,Triple.B.Titles,Yogscast Games,441,410,31
Lost Words: Beyond the Page,599610,2021-04-06,14.99,75,Very Positive,95,Sketchbook Games,Modus Games,283,271,12
Doomblade,922050,2023-05-31,14.99,83,Very Positive,90,Muro Studios,Iceberg Interactive,82,73,9
The Curious Tale of the Stolen Pets,1099500,2019-11-14,9.99,73,Very Positive,91,Fast Travel Games,Fast Travel Games,153,139,14
Lamentum,1033950,2021-08-27,15.99,74,Very Positive,87,Obscure Tales,Neon Doctrine,146,135,11
Jupiter Hell,811320,2021-08-05,24.99,78,Very Positive,91,ChaosForge,Hyperstrange,1168,1074,94
Star Trek: Bridge Crew,527100,2017-05-30,24.99,78,Mostly Positive,76,Ubisoft,Ubisoft,1876,1432,444
Call of Juarez: Gunslinger,204450,2013-05-22,14.99,79,Overwhelmingly Positive,95,Techland,Techland Publishing,7812,7405,407
Call of Juarez: Bound in Blood,21980,2009-06-30,9.99,78,Very Positive,85,Techland,Techland Publishing,1296,1051,245
MouseCraft,252750,2014-07-08,9.99,72,Very Positive,86,Crunching Koalas,Crunching Koalas,87,71,16
Mahokenshi,1717640,2023-01-24,24.99,72,Mostly Positive,78,Game Source Studio,Iceberg Interactive,150,118,32
FlatOut: Ultimate Carnage,12360,2008-08-26,19.99,79,Very Positive,86,Bugbear Entertainment,Strategy First,1245,1036,209
The Last Case of Benedict Fox,2023360,2023-04-27,24.99,58,Mostly Positive,72,Plot Twist,"Rogue Games, Inc.",203,136,67
Art of Murder  Hunt for the Puppeteer,832540,2009-02-17,4.99,56,Mixed,69,City Interactive S.A.,City Interactive S.A.,44,31,13
Giraffe and Annika,1122100,2020-02-17,19.99,67,Very Positive,91,atelier mimina,PLAYISM,72,69,3
Pizza Connection 3,588160,2018-03-22,19.99,55,Mixed,47,Gentlymad Studios,Assemble Entertainment,158,79,79
Jessika,1251980,2020-08-25,12.49,53,Mixed,68,Tritrie Games,Assemble Entertainment,68,41,27
FlatOut 2,2990,2006-08-01,9.99,76,Overwhelmingly Positive,96,Bugbear Entertainment,Strategy First,2920,2766,154
Megaquarium,600480,2018-09-13,24.99,69,Very Positive,94,Twice Circled,Twice Circled,1813,1721,92
The King's Bird,812550,2018-08-23,27.98,67,Mostly Positive,74,Serenity Forge,Graffiti Games,136,98,38
Orangeblood,1042670,2020-01-13,19.99,57,Mostly Positive,71,Grayfax Software,PLAYISM,52,35,17
Ducati World Championship,6270,2007-09-18,3.99,35,Mixed,41,Artematica Entertainment,Strategy First,74,31,43
Elderand,1413660,2023-02-16,19.99,70,Very Positive,80,Mantra,Graffiti Games,132,105,27
Art of Murder - FBI Confidential,809000,2008-07-29,4.99,50,Mostly Positive,72,City Interactive S.A.,City Interactive S.A.,62,42,20
Ceville,23460,2009-02-27,3.99,73,Very Positive,82,Realmforge Studios,Assemble Entertainment,95,76,19
Driftland: The Magic Revival,718650,2019-04-18,19.99,76,Mostly Positive,74,Star Drifters,Star Drifters,679,489,190
NORCO,1221250,2022-03-24,14.99,89,Very Positive,93,Geography of Robots,Raw Fury,1143,1076,67
Willy Morgan and the Curse of Bone Town,1097110,2020-08-11,19.99,71,Very Positive,86,imaginarylab,WhisperGames,140,120,20
Mind Scanners,1389550,2021-05-20,16.99,76,Very Positive,82,The Outer Zone,Brave At Night,413,351,62
Party Animals,1260320,2023-09-20,19.99,76,Mostly Positive,74,Recreate Games,Source Technology,9096,8174,922
Blind Fate: Edo no Yami,1294880,2022-09-15,19.99,54,Mixed,67,Troglobytes Games,101XP,37,24,13
FlatOut,6220,2005-07-12,7.49,72,Very Positive,92,Bugbear Entertainment,Strategy First,1140,1036,104
A Jugglers Tale,1252830,2021-09-29,17.99,74,Very Positive,94,kaleidoscube,Assemble Entertainment,200,190,10
I Expect You To Die 3: Cog in the Machine,2296380,2023-09-28,24.99,89,Very Positive,96,Schell Games,Schell Games,235,227,8
Call of Juarez,3020,2007-06-12,9.99,72,Very Positive,81,Techland,Techland Publishing,996,746,250
Inversion,212410,2012-07-26,9.99,59,Mixed,61,Dnovel,Conglomerate 5,197,105,92
The Darkest Tales,1307690,2022-10-13,19.99,74,Mostly Positive,72,Trinity Team,101XP,151,120,31
Frozenheim,1134100,2022-06-16,19.99,67,Mostly Positive,72,Paranoid Interactive,Hyperstrange,1341,922,419
Red Ronin,1222570,2021-03-17,7.99,70,Very Positive,87,Wired Dreams Studio,Wired Dreams Studio,48,38,10
Espire 1: VR Operative,669290,2019-11-22,19.99,68,Mixed,51,Digital Lode,Tripwire Presents,288,145,143
Rise of Insanity,629220,2018-03-01,9.99,62,Mostly Positive,79,Red Limb Studio,Red Limb Studio,274,210,64
Lydia,629000,2017-06-02,3.99,78,Very Positive,88,Platonic Partnership,Nakana.io,212,195,17
Teslagrad 2,1698220,2023-04-19,19.99,71,Very Positive,85,Rain Games,Modus Games,81,70,11
COCOON,1497440,2023-09-29,24.99,88,Overwhelmingly Positive,96,Geometric Interactive,Annapurna Interactive,1122,1078,44
Sniper Art of Victory,271500,2008-10-16,2.99,36,Mostly Negative,32,CI Games,CI Games,409,119,290
Tom Clancy's Rainbow Six SIEGE,359550,2015-12-01,19.99,79,Very Positive,86,Ubisoft Montreal,Ubisoft,478082,415136,62946
Antihero,505640,2017-07-10,14.99,81,Very Positive,86,Tim Conkling,Versus Evil,383,315,68
PAYDAY 2,218620,2013-08-13,9.99,79,Very Positive,89,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,163812,143308,20504
The Vale: Shadow of the Crown,989790,2021-08-19,19.99,82,Very Positive,97,Falling Squirrel,Falling Squirrel Inc.,216,211,5
The Wolf Among Us,250320,2013-10-11,14.99,80,Overwhelmingly Positive,97,Telltale,Telltale,15192,14821,371
Space Empires V,1690,2006-10-16,14.99,68,Mostly Positive,71,Malfador Machinations,Strategy First,283,198,85
Summer in Mara,962580,2020-06-16,19.99,63,Mostly Positive,76,Chibig,Chibig,564,434,130
Mighty Goose,1299360,2021-06-05,19.99,71,Very Positive,85,Blastmode,PLAYISM,250,225,25
Interrogation: You Will Be Deceived,1016770,2019-12-05,12.99,67,Very Positive,81,Critique Gaming,Assemble Entertainment,201,162,39
SIMULACRA 2,1011190,2020-01-30,7.99,69,Very Positive,88,Kaigan Games,Neon Doctrine,529,451,78
Metal Gear Solid V: The Phantom Pain,287700,2015-09-01,19.99,91,Very Positive,91,KONAMI,KONAMI,33942,30947,2995
Moss,846470,2018-06-07,19.99,81,Very Positive,94,Polyarc,Polyarc,1540,1459,81
Faeria,397060,2016-02-29,19.99,81,Very Positive,84,Abrakam Entertainment SA,Versus Evil,682,581,101
Inscryption,1092790,2021-10-19,19.99,85,Overwhelmingly Positive,96,Daniel Mullins Games,Devolver Digital,57182,55499,1683
8BitBoy,296910,2012-11-22,6.99,64,Mostly Positive,73,AwesomeBlade,AwesomeBlade,367,254,113
Batman: The Enemy Within - The Telltale Series,675260,2017-08-08,14.99,79,Very Positive,91,Telltale,Telltale,3142,2959,183
Furi,423230,2016-07-05,19.99,76,Very Positive,91,The Game Bakers,The Game Bakers,5634,5209,425
Help Will Come Tomorrow,1119600,2020-04-21,19.99,67,Very Positive,81,Arclight Creations,Klabater,292,221,71
The Aquatic Adventure of the Last Human,401360,2016-01-19,9.99,76,Mostly Positive,75,YCJY Games,YCJY Games,249,181,68
Reus,222730,2013-05-16,9.99,75,Mostly Positive,78,Abbey Games,Abbey Games,2317,1815,502
Angry Birds VR: Isle of Pigs,1001140,2019-02-07,19.99,79,Very Positive,90,Resolution Games,Resolution Games,168,149,19
UnderMine,656350,2020-08-06,19.99,79,Very Positive,91,Thorium,Thorium,3867,3537,330
Until You Fall,858260,2019-10-10,24.99,87,Very Positive,94,Schell Games,Schell Games,2102,1989,113
RESTLESS SOUL,1748230,2022-09-01,14.99,54,Very Positive,94,Fuz Games,Graffiti Games,67,61,6
SUPERHOT,322500,2016-02-25,24.99,82,Very Positive,91,SUPERHOT Team,SUPERHOT Team,14432,13001,1431
A Space for the Unbound,1201270,2023-01-19,19.99,86,Overwhelmingly Positive,98,Mojiken,Toge Productions,2216,2199,17
Broken Pieces,1293730,2022-09-09,24.99,66,Mostly Positive,74,Elseware Experience,Freedom Games,120,83,37
