title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
The Wizards - Dark Times,1103860,2020-06-04,24.99,83,Mostly Positive,79,Carbon Studio,Vertigo Games
Pixel Ripped 1995,1178140,2020-04-23,19.99,78,Very Positive,96,ARVORE Immersive Experiences,ARVORE Immersive Experiences
This is the Zodiac Speaking,907710,2020-10-15,12.99,59,Mixed,49,Punch Punk Games,Klabater
Thomas Was Alone,220780,2012-06-30,9.99,77,Very Positive,93,Bithell Games,Bithell Games
The Sum of All Fears,19810,2002-05-28,9.99,72,Positive,80,Red Storm Entertainment,Ubisoft
Troublemaker,1498740,2023-03-31,19.99,57,Very Positive,90,Gamecom Team,Freedom Games
Volume,365770,2015-08-18,19.99,80,Mostly Positive,79,Bithell Games,Bithell Games
Symphony of War: The Nephilim Saga,1488200,2022-06-10,19.99,81,Overwhelmingly Positive,95,Dancing Dragon Games,Freedom Games
Demetrios: The BIG Cynical Adventure,451570,2016-05-31,13.97,72,Very Positive,81,COWCAT,COWCAT
Armada 2526,46790,2009-11-17,14.99,66,Mixed,55,Ntronium Games,Iceberg Interactive
The Moment of Silence,339840,2005-03-01,14.99,70,Mixed,65,House of Tales,HandyGames
Lamplight City,761460,2018-09-13,21.98,72,Very Positive,90,Grundislav Games,Application Systems Heidelberg
The Solitaire Conspiracy,1424980,2020-10-06,11.99,70,Very Positive,90,Bithell Games,Bithell Games
Soulbringer,283310,2000-07-10,2.99,70,Mostly Positive,75,Infogames Europe SA,Funbox Media Ltd
Job Simulator,448280,2016-04-05,19.99,68,Very Positive,91,Owlchemy Labs,Owlchemy Labs
The Longing,893850,2020-03-05,17.98,79,Very Positive,92,Studio Seufz,Application Systems Heidelberg
Curved Space,1320230,2021-06-29,19.99,63,Positive,100,Only By Midnight Ltd.,Maximum Games
Eurofighter Typhoon,283350,2001-07-30,2.99,69,Mostly Negative,31,Rage Software,Funbox Media Ltd
Whateverland,1175840,2022-09-15,14.99,70,Very Positive,88,Caligari Games,WhisperGames
Mobile Forces,837940,2002-08-16,3.99,68,Very Positive,91,Rage Software,Funbox Media Ltd
Incoming Forces,283390,2002-09-25,2.99,67,Mixed,69,Rage Software,Funbox Media Ltd
Broken Age,232790,2014-01-28,21.98,76,Very Positive,82,Double Fine Productions,Double Fine Productions
Effie,975950,2020-01-28,19.99,70,Very Positive,80,Inverge Studios,Inverge Studios
RymdResa,269690,2015-08-20,11.99,64,Mostly Positive,71,Morgondag,Morgondag
Unknown Fate,510390,2018-09-06,9.99,48,Mixed,56,Marslit Games,Fulqrum Publishing
DRAINUS,1975360,2022-05-22,14.99,81,Overwhelmingly Positive,96,Team Ladybug,PLAYISM
Lumini,360840,2015-09-03,12.99,69,Very Positive,89,Speelbaars,2Awesome Studio
Of Bird and Cage,523770,2021-05-20,9.99,43,Very Positive,81,Capricia Productions,Capricia Productions
Trifox,1211240,2022-10-14,19.99,80,Positive,86,Glowfish Interactive,Big Sugar
Down the Rabbit Hole,1215270,2020-03-26,19.99,68,Very Positive,93,Cortopia Studios,Cortopia Studios
Nelly Cootalot: The Fowl Fleet,317320,2016-03-22,26.95,81,Very Positive,93,Alasdair Beckett-King,Application Systems Heidelberg
Record of Lodoss War-Deedlit in Wonder Labyrinth-,1203630,2021-03-27,19.99,74,Very Positive,93,Team Ladybug,PLAYISM
Infinity Runner,279920,2014-07-14,6.99,56,Mixed,69,Wales Interactive,Wales Interactive
Unforeseen Incidents,501790,2018-05-24,25.97,80,Very Positive,87,Backwoods Entertainment,Application Systems Heidelberg
Marine Sharpshooter II: Jungle Warfare,283370,2004-06-24,2.99,52,Mixed,49,Jarhead Games,Funbox Media Ltd
Prospekt,399120,2016-02-18,5.99,43,Mixed,62,SCT,SCT
Roots of Pacha,1245560,2023-04-25,24.99,82,Very Positive,92,Soda Den,Soda Den
Post Void,1285670,2020-08-06,2.99,76,Overwhelmingly Positive,97,YCJY Games,YCJY Games
FORECLOSED,1308880,2021-08-12,16.99,53,Mixed,69,Antab Studio,Merge Games
Bonkies,889260,2021-01-29,14.99,76,Positive,95,Studio Gauntlet,Crunching Koalas
Albedo: Eyes from Outer Space,277520,2015-04-10,14.99,66,Mixed,47,Z4G0 and Ivan Venturi Productions,Merge Publishing
Beyond the Long Night,1730080,2023-04-17,17.99,76,Mostly Positive,72,Noisy Head Games,Yogscast Games
Chronicles of Mystery The Tree of Life,837090,2009-11-03,4.99,64,Mostly Positive,72,City Interactive S.A.,City Interactive S.A.
Loot River,1494260,2022-05-03,24.99,72,Mostly Positive,71,straka.studio,SUPERHOT PRESENTS
Monorail Stories,1267070,2022-09-30,14.99,80,Mostly Positive,75,Stelex Software,Freedom Games
Chronicles of Mystery: The Scorpio Ritual,34800,2008-11-14,4.99,62,Mostly Positive,73,City Interactive S.A.,City Interactive S.A.
Testament: The Order Of High-Human,2176430,2023-07-13,19.99,41,Mixed,41,Fairyship Games,Fairyship Games
Art of Murder - Cards of Destiny,836770,2010-02-23,4.99,57,Mostly Positive,72,City Interactive S.A.,City Interactive S.A.
Megamagic: Wizards of the Neon Age,422650,2016-04-20,9.99,67,Mixed,57,BeautiFun Games,BeautiFun Games
Subsurface Circular,676820,2017-08-17,5.99,83,Overwhelmingly Positive,95,Bithell Games,Bithell Games
Crime Cities,1112570,2000-01-15,3.99,71,Mixed,65,Techland,Techland Publishing
Dangerous Golf,405500,2016-06-02,24.98,54,Mostly Positive,72,Three Fields Entertainment,Three Fields Entertainment 
REZ PLZ,911680,2020-07-15,14.99,75,Mostly Positive,71,Long Neck Games,Graffiti Games
The Banished Vault,2341070,2023-07-25,24.99,70,Very Positive,82,Lunar Division,Bithell Games
Arcade Paradise,1388870,2022-08-11,22.98,72,Very Positive,89,Nosebleed Interactive,Wired Productions
Hexodius,236490,2013-06-21,9.99,47,Mixed,60,Brain Slap Studio,BANDAI NAMCO Entertainment
Outshine,1288410,2022-11-03,12.99,76,Positive,95,Fishing Cactus,PID Games
Quarantine Circular,853500,2018-05-22,5.99,73,Very Positive,88,Bithell Games,Bithell Games
Wraith: The Oblivion - Afterlife,1386870,2021-04-22,19.99,76,Mixed,57,Fast Travel Games,Fast Travel Games
Mable and The Wood,568070,2019-08-23,14.99,62,Mixed,56,Triplevision Games,Graffiti Games
The Last Worker,1579280,2023-03-30,19.99,53,Mostly Positive,70,Oiffy,Wired Productions
The Tale of Bistun,916140,2022-07-13,17.99,74,Very Positive,89,Black Cube Games,IMGN.PRO
Journey For Elysium,1036260,2019-10-31,9.99,63,Very Positive,80,Mantis,Cronos Interactive
Fueled Up,1488430,2022-10-13,19.99,66,Mostly Positive,72,Fireline Games,Gamera Games
Demon Skin,1522140,2021-04-13,9.99,48,Mostly Positive,74,Ludus future,ESDigital Games
Tentacular,1220100,2022-03-24,24.99,81,Very Positive,94,Firepunchd Games UG,Devolver Digital
Best Month Ever!,1684400,2022-05-05,19.99,65,Mostly Positive,78,Warsaw Film School Video Game & Film Production Studio,Klabater
